id,priority,area,screen,description,steps_to_reproduce,expected_result,actual_result,error_message,recommended_fix,status
D-001,P1,Frontend/API,Deliverables Workspace,deliverableWorkspace.ts uses { apiClient } named import which does not exist — client.ts only exports api as default,"1. Navigate to /deliverables/workspace 2. Observe network tab","Page loads and fetches packages/dashboard","All API calls throw TypeError at runtime","TypeError: apiClient is not a function","Change import { apiClient } to import api (default) in deliverableWorkspace.ts",Fixed-uncommitted
D-002,P2,Frontend/Route,Setup > Reporting Views,Duplicate route path=setup/reporting-views in AppRouter.tsx — second entry with PlaceholderPage is unreachable dead code,"1. Check AppRouter.tsx lines 158 and 162","Single route definition","Duplicate route entry — second one unreachable","N/A","Remove line 162 duplicate PlaceholderPage route",Fixed
D-003,P0,Frontend,Scenario Manager,Toggle imported from lucide-react v1.16.0 which does not export it — crashes entire frontend SPA on load,"1. Start frontend 2. Load any page","App loads","White screen / module parse error","The requested module lucide-react does not provide an export named Toggle","Remove Toggle from import in ScenarioManagerPage.tsx",Fixed
D-004,P1,Frontend/API,Intelligence > Quarterly Review,Export URL missing /v1/ prefix — download triggers 404,"1. Go to /intelligence/quarterly-review 2. Run a review 3. Click Export button","Excel file downloads","Browser fetches /api/accounting-intelligence/quarterly-review/export → 404","404 Not Found","Change URL to /api/v1/accounting-intelligence/quarterly-review/export",Fixed
D-005,P1,Backend/DB,Journal Entries / Onboarding,journal_entries.materiality column missing from database — all JE queries return 500,"1. GET /api/v1/journal-entries/ 2. GET /api/v1/setup/onboarding-status","200 with data","500 Internal Server Error","sqlite3.OperationalError: no such column: journal_entries.materiality","Run corrective migration 6d9da4ca362c to add materiality column",Fixed
D-006,P1,Backend/DB,Adjustment Packages,ck_pkg_type constraint missing sba and client_posting values — inserts for these types would fail CHECK constraint,"1. Create AdjustmentPackage with package_type=sba","Package created successfully","CHECK constraint failed: ck_pkg_type","CHECK constraint failed","Run corrective migration 6d9da4ca362c to update constraint",Fixed
D-007,P3,UX/Route,Setup > Reporting Views,Nav item reporting-views pointed at route that had duplicate definition — maintainer confusion,"1. Check nav.ts reporting-views to value 2. Check AppRouter for that path","Single clean route","Two routes registered for same path","N/A","Remove dead PlaceholderPage duplicate (done via D-002 fix)",Fixed
D-008,P3,UX,Financial Impact,/financial-impact/balance-sheet + income-statement + cash-flow all serve PlaceholderPage — not in main nav so low visibility,"1. Navigate to /financial-impact/balance-sheet","Full page implementation","Coming Soon placeholder","N/A","Build or remove these routes in a future sprint",Open
D-009,P3,UX,Deliverables,Routes je-export / advisor-report / audit-support serve PlaceholderPage — not in main nav,"1. Navigate to /deliverables/je-export","Full page implementation","Coming Soon placeholder","N/A","Build or remove these routes in a future sprint",Open
D-010,P3,Test,test_migrations.py,Full migration roundtrip fails — af3a982c28ac tries to ADD COLUMN original_preview which the baseline migration already includes,"1. Run python -m pytest tests/test_migrations.py","All migration tests pass","duplicate column name: original_preview","sqlalchemy.exc.OperationalError: duplicate column name: original_preview","Reconcile baseline migration 001 with af3a982c28ac",Open-pre-existing
D-011,P3,Test,test_m36_pdf_import.py,14 PDF import validation assertions use stale expected values that no longer match the parser output,"1. Run python -m pytest tests/test_m36_pdf_import.py","All tests pass","14 assertion failures on numeric totals","AssertionError: various numeric mismatches","Update expected values to match current parser output or rewrite tests",Open-pre-existing
